state,year,persons_avg,persons_max,n_months,state_fips,burden_index,no_online_app,recert_burden,no_bbce,no_simplereport,certnonearnavg,bbce,oapp_mean
Kansas,2012,308533.25,316506,12,20,0.3875848499151902,0,0.550339399660761,1,0,13.864368333333333,0,1
Kansas,2013,315942.4166666667,320638,12,20,0.3960723956158858,0,0.5842895824635433,1,0,13.244075,0,1
Kansas,2014,285642.5833333333,292420,12,20,0.3836247280617505,0,0.534498912247002,1,0,14.153785000000001,0,1
Kansas,2015,269381.75,276863,12,20,0.3854054259867844,0,0.5416217039471376,1,0,14.023646666666666,0,1
Kansas,2016,249491.33333333334,257823,12,20,0.37767571967170155,0,0.5107028786868062,1,0,14.588555,0,1
Kansas,2017,228925.58333333334,238385,12,20,0.35567204889302134,0,0.4226881955720853,1,0,16.196644166666665,0,1
Kansas,2018,213237.33333333334,219365,12,20,0.33891920550500587,0,0.3556768220200235,1,0,17.420988333333334,0,1
Kansas,2019,182471.25,203960,12,20,0.33032103409110064,0,0.3172677373747591,1,0,18.12274888888889,0,1
Kentucky,2010,791410.9166666666,813041,12,21,0.5768423310129688,1,0.8907026573852084,0.4166666666666667,0,7.645696083333333,0.5833333333333334,0
Kentucky,2011,831379.9166666666,844144,12,21,0.46660918640447047,1,0.8664367456178819,0,0,8.089051083333333,1,0
Kentucky,2012,855209,867676,12,21,0.41551189604641137,1,0.6620475841856456,0,0,11.8233825,1,0
Kentucky,2013,867552.25,879771,12,21,0.4143352734897324,1,0.6573410939589298,0,0,11.909373333333333,1,0
Kentucky,2014,816074.5,832518,12,21,0.41694406219899427,1,0.6677762487959771,0,0,11.718715833333334,1,0
Kentucky,2015,745638.8333333334,788177,12,21,0.22342123453780516,0.08333333333333333,0.8103516048178873,0,0,9.113765416666666,1,0.9166666666666666
Kentucky,2016,655618.4166666666,686488,12,21,0.1986562710195469,0,0.7946250840781875,0,0,9.401099833333333,1,1
Kentucky,2017,649732.5833333334,658252,12,21,0.1367244327691584,0,0.5468977310766336,0,0,13.92725,1,1
Kentucky,2018,597275,636423,12,21,0.12900405377822216,0,0.5160162151128886,0,0,14.491476666666667,1,1
Kentucky,2019,483917.3333333333,566900,12,21,0.12355859546352524,0,0.6589791758054679,0,0,11.879444444444445,1,1
Louisiana,2014,866834,873547,3,22,0.21709735779757733,0,0.45172276452364263,0.4166666666666667,0,15.6661625,0.5833333333333334,1
Louisiana,2015,862016.4166666666,879541,12,22,0.36376115365526385,0,0.45504461462105544,1,0,15.60547,0,1
Louisiana,2016,964187.75,1185797,12,22,0.3529851409933826,0,0.4119405639735303,1,0,16.393010833333335,0,1
Louisiana,2017,894855.5,926213,12,22,0.34367766876773653,0,0.3747106750709461,1,0,17.073226666666667,0,1
Louisiana,2018,854057.75,874486,12,22,0.3571587992762763,0,0.42863519710510517,1,0,16.087988333333332,0,1
Louisiana,2019,740197.0833333334,811065,12,22,0.3499461117838339,0,0.42193481840266983,1,0,16.21040888888889,0,1
Maine,2010,235110.41666666666,242824,12,23,0.413886284839859,1,0.655545139359436,0,0,11.942186666666666,1,0
Maine,2011,250325.25,253278,12,23,0.37159737846820473,0.8333333333333334,0.6530561805394856,0,0,11.987661666666666,1,0.16666666666666666
Maine,2012,252399.33333333334,254498,12,23,0.16462759046017525,0,0.658510361840701,0,0,11.88801,1,1
Maine,2013,246217.66666666666,252482,12,23,0.16343226764481608,0,0.6537290705792643,0,0,11.9753675,1,1
Maine,2014,224160.16666666666,235771,12,23,0.163741232406523,0,0.654964929626092,0,0,11.9527875,1,1
Maine,2015,197124.91666666666,202099,12,23,0.162697598335812,0,0.650790393343248,0,0,12.029059166666666,1,1
Maine,2016,186594.25,191586,12,23,0.41209222307142684,0,0.6483688922857073,0,1,12.073301666666667,1,1
Maine,2017,177862.83333333334,188058,12,23,0.41223647732298996,0,0.6489459092919597,0,1,12.062759166666666,1,1
Maine,2018,164188.75,172274,12,23,0.41370188204511726,0,0.654807528180469,0,1,11.955663333333334,1,1
Maine,2019,143774.41666666666,157160,12,23,0.22607870435339833,0,0.6501975343292355,0,0.4166666666666667,12.03989111111111,1,1
Maryland,2010,589411.75,653293,12,24,0.22634644758757178,0,0.9053857903502871,0,0,7.377425083333334,1,1
Maryland,2011,684598.3333333334,710675,12,24,0.22345545715144963,0,0.8938218286057985,0,0,7.588706666666667,1,1
Maryland,2012,726600.9166666666,754171,12,24,0.22160690465363875,0,0.886427618614555,0,0,7.7238039999999994,1,1
Maryland,2013,781947.9166666666,800022,12,24,0.2232250688242496,0,0.8929002752969984,0,0,7.605544083333333,1,1
