state,date,persons
Colorado,2017-07-01,448129
Colorado,2017-08-01,450351
Colorado,2017-09-01,448675
Colorado,2017-10-01,451621
Colorado,2017-11-01,449017
Colorado,2017-12-01,451127
Colorado,2018-01-01,454873
Colorado,2018-02-01,455910
Colorado,2018-03-01,450866
Colorado,2018-04-01,445005
Colorado,2018-05-01,442787
Colorado,2018-06-01,442154
Colorado,2018-07-01,443567
Colorado,2018-08-01,455186
Colorado,2018-09-01,455773
Colorado,2018-10-01,461659
Colorado,2018-11-01,462062
Colorado,2018-12-01,456585
Colorado,2019-01-01,456786
Colorado,2019-02-01,31018
Colorado,2019-03-01,452616
Colorado,2019-04-01,447801
Colorado,2019-05-01,446093
Colorado,2019-06-01,445289
Colorado,2019-07-01,444626
Colorado,2019-08-01,440612
Colorado,2019-09-01,438326
Colorado,2019-10-01,439390
Colorado,2019-11-01,435937
Colorado,2019-12-01,437241
Colorado,2020-01-01,434142
Colorado,2020-02-01,431397
Colorado,2020-03-01,439355
Colorado,2020-04-01,507074
Colorado,2020-05-01,524084
Colorado,2020-06-01,539331
Colorado,2020-07-01,551936
Colorado,2020-08-01,534175
Colorado,2020-09-01,523098
Colorado,2020-10-01,506102
Colorado,2020-11-01,476756
Colorado,2020-12-01,497997
Colorado,2021-01-01,499164
Colorado,2021-02-01,507441
Colorado,2021-03-01,512057
Colorado,2021-04-01,517146
Colorado,2021-05-01,522550
Colorado,2021-06-01,513617
Colorado,2021-07-01,512297
Colorado,2021-08-01,565496
Colorado,2021-09-01,536718
Colorado,2021-10-01,504963
Colorado,2021-11-01,512732
Colorado,2021-12-01,559785
Colorado,2022-01-01,515705
Colorado,2022-02-01,521159
Colorado,2022-03-01,532046
Colorado,2022-04-01,541308
Colorado,2022-05-01,535919
Colorado,2022-06-01,542173
Colorado,2022-07-01,543840
Colorado,2022-08-01,601114
Colorado,2022-09-01,572893
Colorado,2022-10-01,552462
Colorado,2022-11-01,554386
Colorado,2022-12-01,556362
Colorado,2023-01-01,552605
Colorado,2023-02-01,562096
Colorado,2023-03-01,570080
Colorado,2023-04-01,565658
Colorado,2023-05-01,572261
Colorado,2023-06-01,574153
Colorado,2023-07-01,568946
Colorado,2023-08-01,571137
Colorado,2023-09-01,568095
Connecticut,2014-10-01,444395
Connecticut,2014-11-01,445897
Connecticut,2014-12-01,446146
Connecticut,2015-01-01,443804
Connecticut,2015-02-01,440941
Connecticut,2015-03-01,443111
Connecticut,2015-04-01,441892
Connecticut,2015-05-01,439722
Connecticut,2015-06-01,440216
Connecticut,2015-07-01,438918
Connecticut,2015-08-01,440074
Connecticut,2015-09-01,440819
Connecticut,2015-10-01,439210
Connecticut,2015-11-01,439325
Connecticut,2015-12-01,437134
Connecticut,2016-01-01,437065
Connecticut,2016-02-01,434759
Connecticut,2016-03-01,433566
Connecticut,2016-04-01,427505
Connecticut,2016-05-01,427466
Connecticut,2016-06-01,427190
Connecticut,2016-07-01,425511
Connecticut,2016-08-01,426007
Connecticut,2016-09-01,424431
Connecticut,2016-10-01,422211
Connecticut,2016-11-01,421729
Connecticut,2016-12-01,418039
Connecticut,2017-01-01,418102
Connecticut,2017-02-01,412506
Connecticut,2017-03-01,408448
Connecticut,2017-04-01,405729
Connecticut,2017-05-01,406861
Connecticut,2017-06-01,403646
Connecticut,2017-07-01,402757
Connecticut,2017-08-01,400782
Connecticut,2017-09-01,403323
Connecticut,2017-10-01,411586
Connecticut,2017-11-01,400418
Connecticut,2017-12-01,395675
Connecticut,2018-01-01,396007
Connecticut,2018-02-01,390547
Connecticut,2018-03-01,384362
Connecticut,2018-04-01,381030
Connecticut,2018-05-01,379351
Connecticut,2018-06-01,377598
Connecticut,2018-07-01,376192
Connecticut,2018-08-01,377531
Connecticut,2018-09-01,377649
Connecticut,2018-10-01,376447
Connecticut,2018-11-01,374230
Connecticut,2018-12-01,372079
Connecticut,2019-01-01,371393
Connecticut,2019-02-01,39270
Connecticut,2019-03-01,366453
Connecticut,2019-04-01,364182
Connecticut,2019-05-01,364456
Connecticut,2019-06-01,363578
Connecticut,2019-07-01,364092
Connecticut,2019-08-01,364704
Connecticut,2019-09-01,364474
Connecticut,2019-10-01,364659
Connecticut,2019-11-01,363535
Connecticut,2019-12-01,360523
Connecticut,2020-01-01,360832
Connecticut,2020-02-01,360031
Connecticut,2020-03-01,360128
Connecticut,2020-04-01,379936
Connecticut,2020-05-01,387217
Connecticut,2020-06-01,387097
Connecticut,2020-07-01,386966
Connecticut,2020-08-01,380909
Connecticut,2020-09-01,375825
Connecticut,2020-10-01,365607
Connecticut,2020-11-01,360157
Connecticut,2020-12-01,365498
Connecticut,2021-01-01,368684
Connecticut,2021-02-01,373747
Connecticut,2021-03-01,376924
Connecticut,2021-04-01,376581
Connecticut,2021-05-01,379351
Connecticut,2021-06-01,376195
Connecticut,2021-07-01,372661
Connecticut,2021-08-01,372430
Connecticut,2021-09-01,371752
Connecticut,2021-10-01,369252
Connecticut,2021-11-01,365484
Connecticut,2021-12-01,368265
Connecticut,2022-01-01,369521
Connecticut,2022-02-01,373068
Connecticut,2022-03-01,374648
Connecticut,2022-04-01,376639
Connecticut,2022-05-01,378366
Connecticut,2022-06-01,380397
Connecticut,2022-07-01,381393
Connecticut,2022-08-01,383809
Connecticut,2022-09-01,383490
Connecticut,2022-10-01,387527
Connecticut,2022-11-01,385500
Connecticut,2022-12-01,387126
Connecticut,2023-01-01,387971
Connecticut,2023-02-01,390726
Connecticut,2023-03-01,393179
Connecticut,2023-04-01,395426
Connecticut,2023-05-01,398076
Connecticut,2023-06-01,398838
Connecticut,2023-07-01,398422
Connecticut,2023-08-01,394757
Connecticut,2023-09-01,392637
Delaware,2014-10-01,151279
Delaware,2014-11-01,150571
Delaware,2014-12-01,153419
Delaware,2015-01-01,153612
Delaware,2015-02-01,150906
Delaware,2015-03-01,149905
Delaware,2015-04-01,149432
Delaware,2015-05-01,146947
Delaware,2015-06-01,149593
Delaware,2015-07-01,148094
Delaware,2015-08-01,146933
Delaware,2015-09-01,149075
Delaware,2015-10-01,147127
Delaware,2015-11-01,146441
Delaware,2015-12-01,148457
Delaware,2016-01-01,146504
Delaware,2016-02-01,145967
Delaware,2016-03-01,146532
Delaware,2016-04-01,145824
Delaware,2016-05-01,146036
Delaware,2016-06-01,149564
Delaware,2016-07-01,147477
Delaware,2016-08-01,151620
Delaware,2016-09-01,149158
Delaware,2016-10-01,148340
Delaware,2016-11-01,150227
Delaware,2016-12-01,149095
Delaware,2017-01-01,149625
Delaware,2017-02-01,149105
Delaware,2017-03-01,147419
Delaware,2017-04-01,143596
Delaware,2017-05-01,143729
Delaware,2017-06-01,145362
Delaware,2017-07-01,143695
Delaware,2017-08-01,146831
Delaware,2017-09-01,144641
Delaware,2017-10-01,143871
Delaware,2017-11-01,144971
Delaware,2017-12-01,143741
Delaware,2018-01-01,143853
Delaware,2018-02-01,141365
Delaware,2018-03-01,140031
Delaware,2018-04-01,138597
Delaware,2018-05-01,137820
Delaware,2018-06-01,137652
Delaware,2018-07-01,136322
Delaware,2018-08-01,138586
Delaware,2018-09-01,136761
Delaware,2018-10-01,136252
Delaware,2018-11-01,135049
Delaware,2018-12-01,134116
Delaware,2019-01-01,138562
Delaware,2019-02-01,9847
Delaware,2019-03-01,130125
Delaware,2019-04-01,128321
Delaware,2019-05-01,127545
Delaware,2019-06-01,125758
Delaware,2019-07-01,124488
Delaware,2019-08-01,125239
